cell_type,tissue,deg_set,overlap,markers_total,deg_total,odds_ratio,p_value,pct_markers_in_deg,p_adjust,significant,neg_log10_p
Vascular,root,root_light_down,7,1002,176,0.8581665725075079,0.7049560824158316,0.6986027944111777,1.0,False,-0.0
Vascular_WOX4,root,root_light_down,4,910,176,0.5314441193079726,0.9394071813600827,0.43956043956043955,1.0,False,-0.0
Xylem,root,root_light_down,2,1167,176,0.2017167381974249,0.9993429279547381,0.1713796058269066,1.0,False,-0.0
Epidermis,root,root_cond_up,35,1057,843,0.8443391428183914,0.8530324928124083,3.3112582781456954,1.0,False,-0.0
Exodermis,root,root_cond_up,76,1405,843,1.462377237102722,0.0019293369172432278,5.409252669039146,0.023152043006918734,True,1.6354106794847931
Cortex,root,root_cond_up,51,1748,843,0.7303039231442295,0.989014272888042,2.917620137299771,1.0,False,-0.0
Cortex_ACT2,root,root_cond_up,32,465,843,1.8689896145095013,0.0012767027171678817,6.881720430107527,0.016911299965252723,True,1.771823007065989
Endodermis,root,root_cond_up,18,1396,843,0.3097770154373928,0.9999999990246871,1.2893982808022924,1.0,False,-0.0
Meristematic_Cortex,root,root_cond_up,22,1723,843,0.3031275576951582,0.9999999999915705,1.2768427161926872,1.0,False,-0.0
Meristematic_Zone,root,root_cond_up,21,1112,843,0.4648651541811905,0.999960527839242,1.8884892086330936,1.0,False,-0.0
Phloem,root,root_cond_up,26,1483,843,0.42561256215509646,0.9999995718715364,1.7532029669588671,1.0,False,-0.0
Vascular,root,root_cond_up,18,1002,843,0.442549889135255,0.9999594892251147,1.7964071856287425,1.0,False,-0.0
Vascular_WOX4,root,root_cond_up,14,910,843,0.3778460494571773,0.999991155845085,1.5384615384615385,1.0,False,-0.0
Xylem,root,root_cond_up,13,1167,843,0.2685859556075254,0.9999999985130335,1.113967437874893,1.0,False,-0.0
Epidermis,root,root_cond_down,13,1057,188,1.4625177887246852,0.1268233337941087,1.2298959318826868,0.5668864322886705,False,0.24650393717497676
Exodermis,root,root_cond_down,26,1405,188,2.3531723650166967,0.00019254723015691458,1.8505338078291815,0.005874834898957942,True,2.231004333903723
Cortex,root,root_cond_down,30,1748,188,2.1971382679300335,0.0002225316249605281,1.7162471395881007,0.005874834898957942,True,2.231004333903723
Cortex_ACT2,root,root_cond_down,1,465,188,0.24356905771713075,0.9829875662273707,0.21505376344086022,1.0,False,-0.0
Endodermis,root,root_cond_down,23,1396,188,2.053344810081882,0.0021687186775285103,1.6475644699140402,0.023855905452813613,True,1.6224040951101741
Meristematic_Cortex,root,root_cond_down,18,1723,188,1.2353769190960842,0.2318056159509723,1.044689495066744,0.8052195080402195,False,0.09408571201041875
Meristematic_Zone,root,root_cond_down,3,1112,188,0.2995978846294446,0.996820034930614,0.2697841726618705,1.0,False,-0.0
Phloem,root,root_cond_down,15,1483,188,1.188948039879668,0.29941898065540207,1.0114632501685772,0.9880826361628268,False,0.005206732609989554
