"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","deg_set"
"Metabolism","Amino acid metabolism","sly00360","Phenylalanine metabolism","1/3","60/11892",0.0166666666666667,66.0666666666667,8.02605731391448,0.0150612461972223,0.0376531154930557,0.0158539433654971,"101243631",1,"leaf_light_Vascular_down"
"Metabolism","Biosynthesis of other secondary metabolites","sly00940","Phenylpropanoid biosynthesis","1/3","179/11892",0.00558659217877095,22.145251396648,4.52795862848205,0.0444838018688484,0.0732616244429343,0.030846999765446,"101243631",1,"leaf_light_Vascular_down"
"Organismal Systems","Environmental adaptation","sly04626","Plant-pathogen interaction","1/3","237/11892",0.00421940928270042,16.7257383966245,3.88442047108384,0.0586092995543475,0.0732616244429343,0.030846999765446,"101255501",1,"leaf_light_Vascular_down"
"Metabolism","Metabolism of cofactors and vitamins","sly00740","Riboflavin metabolism","1/4","20/11892",0.05,148.65,12.1219166134636,0.00671110425437427,0.0335555212718713,0.0141286405355248,"101258773",1,"leaf_light_Vascular_up"
"Metabolism","Lipid metabolism","sly00592","alpha-Linolenic acid metabolism","1/4","52/11892",0.0192307692307692,57.1730769230769,7.44627070966762,0.0173785395823337,0.0434463489558343,0.0182931995603513,"544306",1,"leaf_light_Vascular_up"
"Metabolism","Metabolism of other amino acids","sly00480","Glutathione metabolism","1/4","112/11892",0.00892857142857143,26.5446428571429,4.98219805965891,0.0371481349888172,0.0619135583146953,0.0260688666588191,"101265520",1,"leaf_light_Vascular_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00940","Phenylpropanoid biosynthesis","2/6","179/11892",0.0111731843575419,22.145251396648,6.40430856593042,0.00324784836589364,0.0259827869271491,0.0102563632607168,"101264739/101249612",2,"root_cond_Cortex_ACT2_up"
"Cellular Processes","Transport and catabolism","sly04148","Efferocytosis","1/6","57/11892",0.0175438596491228,34.7719298245614,5.74217106821916,0.0284223154495854,0.0611745366249593,0.0241478434045892,"544209",1,"root_cond_Cortex_ACT2_up"
"Metabolism","Amino acid metabolism","sly00330","Arginine and proline metabolism","1/6","64/11892",0.015625,30.96875,5.40094692752936,0.0318658784871764,0.0611745366249593,0.0241478434045892,"544209",1,"root_cond_Cortex_ACT2_up"
"Metabolism","Carbohydrate metabolism","sly00052","Galactose metabolism","1/6","66/11892",0.0151515151515152,30.030303030303,5.31338825490185,0.0328478833670615,0.0611745366249593,0.0241478434045892,"778304",1,"root_cond_Cortex_ACT2_up"
"Metabolism","Carbohydrate metabolism","sly00562","Inositol phosphate metabolism","1/6","77/11892",0.012987012987013,25.7402597402597,4.8932759308316,0.0382340853905996,0.0611745366249593,0.0241478434045892,"543809",1,"root_cond_Cortex_ACT2_up"
"Metabolism","Metabolism of other amino acids","sly00480","Glutathione metabolism","1/6","112/11892",0.00892857142857143,17.6964285714286,3.98865893331991,0.0552059933900992,0.073607991186799,0.0290557859947891,"544209",1,"root_cond_Cortex_ACT2_up"
"Metabolism","Carbohydrate metabolism","sly00500","Starch and sucrose metabolism","1/6","154/11892",0.00649350649350649,12.8701298701299,3.33108511781776,0.0752421243624554,0.0813715310783745,0.0321203412151478,"778304",1,"root_cond_Cortex_ACT2_up"
"Cellular Processes","Transport and catabolism","sly04144","Endocytosis","1/6","167/11892",0.00598802395209581,11.8682634730539,3.17781726258966,0.0813715310783745,0.0813715310783745,0.0321203412151478,"101265874",1,"root_cond_Cortex_ACT2_up"
"Environmental Information Processing","Signal transduction","sly04075","Plant hormone signal transduction","2/3","437/11892",0.0045766590389016,18.141876430206,5.79960860036638,0.00394359253568002,0.0118307776070401,NA,"101244003/101267730",2,"root_cond_Cortex_down"
"Metabolism","Biosynthesis of other secondary metabolites","sly00941","Flavonoid biosynthesis","1/3","37/11892",0.027027027027027,107.135135135135,10.2708506345144,0.00930577508103247,0.0139586626215487,NA,"101266223",1,"root_cond_Cortex_down"
"Environmental Information Processing","Signal transduction","sly04016","MAPK signaling pathway - plant","1/3","193/11892",0.00518134715025907,20.5388601036269,4.34711031043269,0.0479062513239517,0.0479062513239517,NA,"101244003",1,"root_cond_Cortex_down"
"Metabolism","Biosynthesis of other secondary metabolites","sly00960","Tropane, piperidine and pyridine alkaloid biosynthesis","2/6","40/11892",0.05,99.1,13.9627233564887,0.000164073506560471,0.00180480857216518,0.00051812686282254,"101254319/101245061",2,"root_cond_Cortex_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00950","Isoquinoline alkaloid biosynthesis","1/6","30/11892",0.0333333333333333,66.0666666666667,8.01691313428197,0.0150442290108274,0.0458405398632816,0.0131599635971143,"101254319",1,"root_cond_Cortex_up"
"Metabolism","Amino acid metabolism","sly00350","Tyrosine metabolism","1/6","53/11892",0.0188679245283019,37.3962264150943,5.9662814180891,0.0264499866580549,0.0458405398632816,0.0131599635971143,"101254319",1,"root_cond_Cortex_up"
"Metabolism","Metabolism of terpenoids and polyketides","sly00900","Terpenoid backbone biosynthesis","1/6","57/11892",0.0175438596491228,34.7719298245614,5.74217106821916,0.0284223154495854,0.0458405398632816,0.0131599635971143,"101244138",1,"root_cond_Cortex_up"
"Metabolism","Amino acid metabolism","sly00360","Phenylalanine metabolism","1/6","60/11892",0.0166666666666667,33.0333333333333,5.58876218084664,0.0298993758726276,0.0458405398632816,0.0131599635971143,"101254319",1,"root_cond_Cortex_up"
