solyc_nover,leaf_light_lfc,leaf_light_padj,leaf_int_lfc,leaf_int_padj,root_light_lfc,root_light_padj,root_int_lfc,root_int_padj,Mesophyll,Epidermis,Vascular,Trichome,Proliferating,Uncharacterized
Solyc06g083660,0.08307101682287,0.765505254509032,-0.307660508827081,0.370525507427115,-0.0095057524192127,0.999960910744343,-7.33033678562698e-05,0.999973171687554,0.07056307472000001,0.027782994249999998,0.040038686,0.05427261,0.016066855,0.06823503
Solyc06g083670,0.0801637389505786,0.654950226415664,-0.793836986655873,0.0004329791640967,-1.5998046292817e-05,0.999960910744343,-0.0010303898879956,0.999973171687554,0.0923899258,0.086011215,0.13608275,0.1043088,0.11797431,0.17484918
Solyc06g083680,-0.915455530952531,0.0044987999103471,0.485816933212217,0.19691105282663,0.0066500901124119,0.999960910744343,-0.0002992687065576,0.999973171687554,0.5820663066,0.0713179695,0.25718364,0.06486358,0.033172183,0.37141392
Solyc06g083690,-0.739028783054427,0.0033557962711025,1.08045876332406,0.003610758111611,-0.0022225214332499,0.999960910744343,0.0004401869801748,0.999973171687554,0.1428741002,0.0348240015,0.103346325,0.06941635,0.03585294,0.14178011
Solyc06g083710,-0.597868674993012,0.137075712915685,0.596681720654065,0.221317982388633,0.0173315492051272,0.999960910744343,-0.0021149645024777,0.999973171687554,0.000891106448,0.001165286625,0.0030956408,0.0007354488,0.00037734542,0.0
Solyc06g083720,-0.488022306615944,0.186578516151317,0.426587176345257,0.358448174256553,,,,,,,,,,
Solyc06g083750,-0.208315826657385,0.411411020443314,0.325900325632996,0.327548629009767,-0.0044250552325032,0.999960910744343,-0.0005883741530751,0.999973171687554,0.01076324086,0.006163192525,0.0014544092,0.029163398,0.0030102674,0.0028287305
Solyc06g083760,0.116563077004209,0.464154541035833,-0.0655796059936283,0.798748456397527,-0.0001288515874157,0.999960910744343,-0.0001153831595907,0.999973171687554,0.041070249600000004,0.019531571749999997,0.04566209,0.060429513,0.017160773,0.04055785
Solyc06g083780,-0.115063657584597,0.506109034502939,0.0990723255192753,0.708798512183277,-0.001359390840347,0.999960910744343,-9.22689893805135e-05,0.999973171687554,0.490497292,0.398804665,0.4055625,0.8542264,0.34622815,0.4942327
Solyc06g083790,-0.118820428733369,0.448063849038285,0.0853430906648224,0.733948333640137,0.0008071748966451,0.999960910744343,7.25323433105438e-05,0.999973171687554,0.360434432,0.34632258000000005,0.3648484,0.56826353,0.33534956,0.33712843
Solyc06g083810,-0.141223744078835,0.408365289988361,0.235432713222503,0.318918518638174,-0.0012452046100734,0.999960910744343,-0.0003612126279002,0.999973171687554,0.132420764,0.065563602,0.0733926,0.30572104,0.07470859,0.5703377
Solyc06g083820,0.0026005156322244,0.990135634571653,0.0563135008784261,0.825848107254904,0.0001414284708447,0.999960910744343,-0.0003246909214903,0.999973171687554,0.2283556,0.1478831825,0.13901785,0.59456474,0.18735859,0.34624073
Solyc06g083830,-0.410432207404844,0.0295496564029505,0.151461765196387,0.584928178473825,-0.003615275812339,0.999960910744343,-0.0002181493321491,0.999973171687554,0.10388359080000001,0.10139652500000002,0.1039174,0.14119254,0.07578623,0.03645445
Solyc06g083860,0.335690000295197,0.218434968887788,-0.471976769828109,0.208305116966507,-0.0107670666600509,0.835553506695022,0.0002948951642231,0.999973171687554,0.0002566602,0.0014335815249999998,0.0,0.004771195,0.0,0.0
Solyc06g083870,-0.198854930282929,0.217740487661765,0.150303807051595,0.53922886616191,0.0006790529149954,0.999960910744343,-0.0003216022692269,0.999973171687554,0.20590639,0.16496247,0.24903126,0.3050349,0.12143183,0.23013417
Solyc06g083890,-0.157291799365321,0.451989992555838,0.347168638672636,0.193916621954214,-0.0003611592131059,0.999960910744343,-0.0002630299159133,0.999973171687554,0.05224682779999999,0.03252718625,0.03119608,0.034228764,0.0148451915,0.036786146
Solyc06g083910,,,,,-0.0262496641809172,0.999960910744343,0.0004482902982363,0.999973171687554,,,,,,
Solyc06g083920,0.192803209835691,0.40391141513461,-0.362794599403357,0.227764219274926,0.0027897021487227,0.999960910744343,-0.0001068925251128,0.999973171687554,0.008203062219999998,0.0094748254,0.013889047,0.017438838,0.0041997368,0.011173393
Solyc06g083980,-0.0652833383025497,0.824199306501432,-0.388677912501848,0.279624968280041,0.0192686198428561,0.709087421723666,-0.0003166930483583,0.999973171687554,0.1005635604,0.08466560625,0.11864428,0.089837715,0.049849678,0.07720622
Solyc06g083990,0.0125436049112361,0.963676579630477,-0.185020665218365,0.532532839865779,-0.0006560534485034,0.999960910744343,0.0002414755398399,0.999973171687554,0.0077459396399999995,0.005373140925,0.0050959866,0.010436136,0.010532593,0.012289653
Solyc06g084020,1.05108613185036,4.07094652602639e-07,-1.1251189814268,0.0003132167136231,-0.00494273501211,0.999960910744343,0.121923765701294,0.164311157610121,0.0900172848,0.040800093075,0.040442523,0.30100983,0.025881352,0.6771287
Solyc06g084030,0.0681714721067568,0.85018247631656,-0.199643940073704,0.641936154222163,-0.0475297801161371,0.88324432840159,0.0009154526072418,0.999973171687554,0.00156855034,0.0,0.0,0.0008592488,0.0003024719,0.0
Solyc06g084040,0.0344347727391929,0.911410430921074,-0.0037576659843643,0.991602615792438,0.0006718634238556,0.999960910744343,-5.26203628867451e-05,0.999973171687554,0.0043637593,0.0033945683000000003,0.006192221,0.007862407,0.0034871702,0.006060982
Solyc06g084060,-0.003771671670889,0.991079301992606,-0.0427026392446563,0.909402180959155,-0.0097406348976949,0.999960910744343,0.0002882595226407,0.999973171687554,0.047645003,0.042185824250000004,0.023671834,0.038044855,0.027820809,0.007021292
Solyc06g084070,-0.0207247506489469,0.95813571018991,-0.111016644680118,0.811922337616929,-0.0547343584889113,0.596383746662442,0.0002026394546142,0.999973171687554,0.00534500808,0.016084858835,0.013480603,0.012810573,0.00060181343,0.0024949573
Solyc06g084120,0.584423783199405,0.155566379766678,-0.367121124192108,0.442401439381491,-0.0169194866671669,0.999960910744343,0.0014282100205554,0.999973171687554,0.0007858305999999999,0.00011335111,0.0009796075,0.0036180564,0.0003576269,0.0051713907
Solyc06g084140,-2.10499057221458,0.0023415537054361,3.75596866982204,0.0001441114580318,2.55230192485894,0.0017759836679286,-0.0084537908333653,0.892129470402537,0.00573703229,0.00048626030750000004,0.00094273034,0.014478937,0.0004214745,0.0
